iter	Passed	Remaining
557	2048	1622
558	2051	1618
559	2055	1614
560	2059	1611
561	2061	1606
562	2065	1603
563	2068	1599
564	2071	1595
565	2075	1591
566	2078	1587
567	2082	1583
568	2085	1579
569	2089	1575
570	2092	1572
571	2095	1568
572	2099	1564
573	2102	1560
574	2105	1556
575	2109	1552
576	2112	1548
577	2116	1544
578	2119	1541
579	2122	1537
580	2125	1533
581	2129	1529
582	2132	1525
583	2136	1521
584	2139	1517
585	2142	1513
586	2145	1509
587	2149	1505
588	2152	1502
589	2156	1498
590	2159	1494
591	2162	1490
592	2165	1486
593	2169	1482
594	2172	1479
595	2176	1475
596	2179	1471
597	2183	1467
598	2186	1463
599	2189	1459
600	2192	1455
601	2195	1451
602	2199	1447
603	2202	1443
604	2205	1439
605	2208	1435
606	2211	1431
607	2215	1428
608	2218	1424
609	2221	1420
610	2224	1416
611	2227	1412
612	2230	1408
613	2233	1404
614	2237	1400
615	2240	1396
616	2243	1392
617	2246	1388
618	2249	1384
619	2253	1380
620	2256	1376
621	2259	1373
622	2262	1369
623	2266	1365
624	2269	1361
625	2272	1357
626	2275	1353
627	2278	1349
628	2282	1345
629	2285	1342
630	2288	1338
631	2291	1334
632	2294	1330
633	2297	1326
634	2300	1322
635	2304	1318
636	2307	1314
637	2310	1310
638	2313	1307
639	2316	1303
640	2319	1299
641	2323	1295
642	2326	1291
643	2329	1287
644	2332	1283
645	2335	1280
646	2339	1276
647	2342	1272
648	2346	1268
649	2349	1265
650	2353	1261
651	2356	1258
652	2360	1254
653	2363	1250
654	2372	1249
655	2375	1245
656	2379	1242
657	2382	1238
658	2386	1234
659	2389	1230
660	2392	1227
661	2395	1223
662	2399	1219
663	2402	1215
664	2406	1212
665	2409	1208
666	2412	1204
667	2415	1200
668	2418	1196
669	2422	1193
670	2425	1189
671	2428	1185
672	2431	1181
673	2434	1177
674	2437	1173
675	2440	1169
676	2444	1166
677	2446	1162
678	2450	1158
679	2453	1154
680	2456	1150
681	2459	1146
682	2462	1143
683	2466	1139
684	2469	1135
685	2472	1131
686	2475	1127
687	2478	1124
688	2481	1120
689	2484	1116
690	2488	1112
691	2491	1108
692	2494	1105
693	2497	1101
694	2500	1097
695	2504	1093
696	2507	1089
697	2510	1086
698	2513	1082
699	2516	1078
700	2520	1074
701	2523	1071
702	2526	1067
703	2529	1063
704	2532	1059
705	2535	1056
706	2538	1052
707	2542	1048
708	2545	1044
709	2549	1041
710	2552	1037
711	2556	1034
712	2560	1030
713	2563	1026
714	2567	1023
715	2570	1019
716	2573	1015
717	2576	1011
718	2579	1008
719	2583	1004
720	2586	1000
721	2590	997
722	2593	993
723	2596	989
724	2600	986
725	2603	982
726	2607	978
727	2610	975
728	2613	971
729	2617	967
730	2620	964
731	2624	960
732	2627	957
733	2630	953
734	2633	949
735	2637	945
736	2640	942
737	2643	938
738	2646	934
739	2650	931
740	2653	927
741	2656	923
742	2660	920
743	2664	916
744	2667	913
745	2670	909
746	2674	905
747	2677	901
748	2680	898
749	2683	894
750	2687	891
751	2690	887
752	2694	883
753	2697	879
754	2700	876
755	2703	872
756	2707	869
757	2710	865
758	2713	861
759	2717	858
760	2720	854
761	2723	850
762	2727	847
763	2730	843
764	2733	839
765	2737	836
766	2741	832
767	2744	829
768	2749	825
769	2752	822
770	2755	818
771	2759	814
772	2762	811
773	2766	807
774	2769	804
775	2772	800
776	2776	796
777	2779	793
778	2782	789
779	2785	785
780	2789	782
781	2792	778
782	2796	774
783	2799	771
784	2802	767
785	2806	764
786	2810	760
787	2813	756
788	2816	753
789	2819	749
790	2823	745
791	2826	742
792	2829	738
793	2833	735
794	2836	731
795	2839	727
796	2842	724
797	2846	720
798	2849	716
799	2852	713
800	2855	709
801	2858	705
802	2861	702
803	2865	698
804	2868	694
805	2871	691
806	2874	687
807	2877	683
808	2881	680
809	2884	676
810	2888	673
811	2891	669
812	2894	665
813	2897	662
814	2901	658
815	2904	655
816	2908	651
817	2911	647
818	2915	644
819	2918	640
820	2921	637
821	2925	633
822	2928	629
823	2931	626
824	2934	622
825	2938	618
826	2941	615
827	2945	611
828	2950	608
829	2953	604
830	2957	601
831	2960	597
832	2963	594
833	2967	590
834	2970	586
835	2974	583
836	2978	579
837	2981	576
838	2985	572
839	2989	569
840	2992	565
841	2996	562
842	2999	558
843	3003	555
844	3006	551
845	3011	548
846	3014	544
847	3018	540
848	3021	537
849	3024	533
850	3028	530
851	3031	526
852	3034	522
853	3038	519
854	3041	515
855	3044	512
856	3047	508
857	3050	504
858	3053	501
859	3057	497
860	3060	494
861	3064	490
862	3067	486
863	3071	483
864	3074	479
865	3078	476
866	3081	472
867	3084	469
868	3088	465
869	3091	461
870	3094	458
871	3097	454
872	3101	451
873	3104	447
874	3107	443
875	3110	440
876	3113	436
877	3117	433
878	3120	429
879	3123	425
880	3126	422
881	3129	418
882	3132	415
883	3136	411
884	3139	407
885	3142	404
886	3145	400
887	3149	397
888	3153	393
889	3157	390
890	3160	386
891	3164	383
892	3167	379
893	3171	375
894	3174	372
895	3177	368
896	3181	365
897	3183	361
898	3187	358
899	3190	354
900	3193	350
901	3197	347
902	3200	343
903	3203	340
904	3206	336
905	3209	333
906	3213	329
907	3216	325
908	3220	322
909	3223	318
910	3227	315
911	3231	311
912	3234	308
913	3237	304
914	3241	301
915	3244	297
916	3247	293
917	3251	290
918	3254	286
919	3257	283
920	3261	279
921	3264	276
922	3267	272
923	3271	269
924	3275	265
925	3278	262
926	3281	258
927	3285	254
928	3288	251
929	3292	247
930	3295	244
931	3299	240
932	3302	237
933	3305	233
934	3309	230
935	3312	226
936	3315	222
937	3319	219
938	3322	215
939	3325	212
940	3329	208
941	3332	205
942	3335	201
943	3338	198
944	3341	194
945	3344	190
946	3347	187
947	3351	183
948	3354	180
949	3358	176
950	3362	173
951	3366	169
952	3369	166
953	3372	162
954	3376	159
955	3379	155
956	3382	151
957	3385	148
958	3388	144
959	3391	141
960	3395	137
961	3398	134
962	3401	130
963	3405	127
964	3408	123
965	3412	120
966	3415	116
967	3418	113
968	3422	109
969	3425	105
970	3429	102
971	3432	98
972	3436	95
973	3439	91
974	3442	88
975	3446	84
976	3449	81
977	3452	77
978	3455	74
979	3459	70
980	3462	67
981	3465	63
982	3469	59
983	3472	56
984	3475	52
985	3478	49
986	3482	45
987	3485	42
988	3488	38
989	3492	35
990	3495	31
991	3498	28
992	3501	24
993	3504	21
994	3508	17
995	3511	14
996	3515	10
997	3518	7
998	3521	3
999	3525	0
